,"Group name","Pelagic Shark mono-sp. (t/km²/year)","Carniv. dem. elasmo. mono-sp fleet (t/km²/year)","Benthiv. dem. elasmo. mono-sp fleet (t/km²/year)","Sea bass mono-sp fleet (t/km²/year)","Anglerfish lg. mono-sp fleet (t/km²/year)","Anglerfish sm. mono-sp fleet (t/km²/year)","Hake lg. mono-sp fleet (t/km²/year)","Hake sm. mono-sp fleet (t/km²/year)","Cod ad. mono-sp fleet (t/km²/year)","Cod sm. mono-sp fleet (t/km²/year)","Whiting mono-sp fleet (t/km²/year)","Haddock mono-sp fleet (t/km²/year)","Pouts mono-sp fleet (t/km²/year)","Megrim mono-sp fleet (t/km²/year)","Sole mono-sp fleet (t/km²/year)","Plaice mono-sp fleet (t/km²/year)","Pisciv. dem. mono-sp fleet (t/km²/year)","Epibenthiv. mono-sp fleet (t/km²/year)","Small dem. mono-sp fleet (t/km²/year)","Endobenthiv. mono-sp fleet (t/km²/year)","Mackerel mono-sp fleet (t/km²/year)","Horse mackerel mono-sp fleet (t/km²/year)","Boarfish mono-sp fleet (t/km²/year)","Sprat mono-sp fleet (t/km²/year)","Blue whiting mono-sp fleet (t/km²/year)","Pilchard mono-sp fleet (t/km²/year)","Herring mono-sp fleet (t/km²/year)","Large pelagic mono-sp fleet (t/km²/year)","Medium pelagic mono-sp fleet (t/km²/year)","Squids mono-sp fleet (t/km²/year)","Benth. cephalopods mono-sp fleet (t/km²/year)","Commercial crust. mono-sp fleet (t/km²/year)","Nephrops mono-sp fleet (t/km²/year)","Commercial bivalves mono-sp fleet (t/km²/year)","Shrimps mono-sp fleet (t/km²/year)","Carniv. Necro. inv. mono-sp fleet (t/km²/year)","Surf. Suspensiv. Deposiv. mono-sp fleet (t/km²/year)","TotalCatch (t/km²/year)",
25,"Small benthivorous demer. fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004634084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004634084,
26,Mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119125,
27,"Horse mackerel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1762339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1762339,
28,Boarfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.463347E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.463347E-08,
29,Sprat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02946571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02946571,
30,"Blue whiting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374262,0,0,0,0,0,0,0,0,0,0,0,0,0.0374262,
31,Pilchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02706771,0,0,0,0,0,0,0,0,0,0,0,0.02706771,
32,Herring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08453646,0,0,0,0,0,0,0,0,0,0,0.08453646,
33,"Pelagic fish - Large",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547801,0,0,0,0,0,0,0,0,0,0.0547801,
34,"Pelagic fish - Medium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001255181,0,0,0,0,0,0,0,0,0.001255181,
35,Squids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006796535,0,0,0,0,0,0,0,0.006796535,
36,"Benthic cephalopods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01728386,0,0,0,0,0,0,0.01728386,
37,"Commercial crustaceans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09817203,0,0,0,0,0,0.09817203,
38,Nephrops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02356819,0,0,0,0,0.02356819,
39,"Commercial bivalves",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06309443,0,0,0,0.06309443,
