Scientific_name,l50
Gadus morhua,42.2712700465605
Lepidorhombus whiffiagonis,20.26474445323817
Lophius piscatorius,50.14744289956433
Melanogrammus aeglefinus,23.306982642894095
Merlangius merlangus,20.208718217364453
Merluccius merluccius,53.584122071821646
Pleuronectes platessa,16.643306232226518
Scomber scombrus,28.838054518413294
Solea solea,19.432388784505353
